case_no,player,team,games,minutes,x2P,x3P,TRB,AST,STL,BLK
100,Derrick Favors,UTA,77,2153,0.176962378,0.006502555,0.256386438,0.047375755,0.025081282,0.038086391
101,Otto Porter,WAS,77,2432,0.126233553,0.056743421,0.202302632,0.064555921,0.047697368,0.016858553
102,Isaiah Thomas,TOT,32,862,0.118329466,0.063805104,0.077726218,0.1774942,0.017401392,0.003480278
103,Dirk Nowitzki,DAL,77,1900,0.109473684,0.072631579,0.230526316,0.063157895,0.022631579,0.023684211
104,Elfrid Payton,TOT,63,1808,0.165376106,0.01659292,0.151548673,0.217367257,0.04590708,0.012168142
105,Brandon Ingram,LAL,59,1975,0.160506329,0.020759494,0.158987342,0.116455696,0.02278481,0.021772152
106,Meyers Leonard,POR,33,254,0.137795276,0.043307087,0.275590551,0.066929134,0.027559055,0
107,Serge Ibaka,TOR,76,2093,0.129957,0.05112279,0.228380315,0.029622551,0.01385571,0.047300526
108,Marcus Morris,BOS,54,1447,0.121630961,0.05943331,0.199723566,0.04975812,0.024187975,0.00829302
109,Richaun Holmes,PHI,48,746,0.175603217,0.00536193,0.282841823,0.081769437,0.026809651,0.038873995
110,Gerald Green,HOU,41,929,0.062432723,0.118406889,0.143164693,0.026910657,0.02583423,0.016146394
111,Marc Gasol,MEM,73,2408,0.134966777,0.045265781,0.245847176,0.12666113,0.022425249,0.041943522
112,Steven Adams,OKC,76,2487,0.180136711,0,0.275432248,0.035383997,0.03699236,0.031363088
113,Nene Hilario,HOU,52,758,0.179419525,0,0.232189974,0.059366755,0.036939314,0.018469657
114,Johnny O'Bryant,CHO,36,379,0.142480211,0.036939314,0.245382586,0.036939314,0.023746702,0.015831135
115,Malik Monk,CHO,63,854,0.081967213,0.097189696,0.077283372,0.106557377,0.023419204,0.010538642
116,Mike James,TOT,36,687,0.141193595,0.037845706,0.131004367,0.183406114,0.040756914,0.010189229
117,Dante Exum,UTA,14,235,0.157446809,0.021276596,0.110638298,0.182978723,0.034042553,0.012765957
118,Rondae Hollis-Jefferson,BRK,68,1920,0.171354167,0.006770833,0.2390625,0.086979167,0.033854167,0.025
119,Markelle Fultz,PHI,14,253,0.177865613,0,0.169960474,0.209486166,0.04743083,0.015810277
120,Kelly Olynyk,MIA,76,1779,0.118043845,0.059584036,0.242270939,0.116357504,0.03485104,0.019673974
121,Dion Waiters,MIA,30,918,0.120915033,0.05664488,0.083877996,0.123093682,0.025054466,0.009803922
122,Andre Drummond,DET,78,2625,0.17752381,0,0.475047619,0.090285714,0.043428571,0.048380952
123,Paul Millsap,DEN,38,1143,0.142607174,0.034120735,0.214348206,0.090113736,0.034120735,0.038495188
124,John Collins,ATL,74,1785,0.166946779,0.008963585,0.303081232,0.054901961,0.026330532,0.044817927
125,Cheick Diallo,NOP,52,581,0.17555938,0,0.363166954,0.032702238,0.018932874,0.036144578
126,Jonathon Simmons,ORL,69,2029,0.140463282,0.0340069,0.117792016,0.084277969,0.02858551,0.007885658
127,Dario Saric,PHI,78,2310,0.106493506,0.067965368,0.225108225,0.087445887,0.022077922,0.008658009
128,Jaylen Brown,BOS,70,2152,0.117100372,0.056226766,0.160780669,0.052973978,0.032527881,0.012081784
129,Will Barton,DEN,81,2683,0.115169586,0.058143869,0.152441297,0.123369363,0.030562803,0.01938129
130,Marco Belinelli,TOT,80,1947,0.096558808,0.076527992,0.077041602,0.076014381,0.033898305,0.006163328
131,Sean Kilpatrick,TOT,52,640,0.1,0.071875,0.1359375,0.071875,0.0203125,0.0078125
132,Caris LeVert,BRK,71,1864,0.126072961,0.045600858,0.139484979,0.160944206,0.043991416,0.011802575
133,Mike Conley,MEM,12,373,0.107238606,0.064343164,0.072386059,0.131367292,0.032171582,0.008042895
134,Deyonta Davis,MEM,62,943,0.170731707,0,0.265111347,0.042417815,0.015906681,0.04135737
135,Malcolm Brogdon,MIL,48,1436,0.126740947,0.043175487,0.108635097,0.105849582,0.028551532,0.009052925
136,C.J. Miles,TOR,70,1337,0.047120419,0.122662678,0.11368736,0.041136874,0.027673897,0.015706806
137,Larry Nance,TOT,66,1421,0.167487685,0.00140746,0.318085855,0.057705841,0.06192822,0.026741731
138,Antonio Blakeney,CHI,19,314,0.121019108,0.047770701,0.105095541,0.063694268,0.022292994,0.003184713
139,Tyler Zeller,TOT,66,1109,0.159603246,0.009017133,0.275022543,0.042380523,0.013525699,0.031559964
140,Taurean Waller-Prince,ATL,82,2464,0.096996753,0.071428571,0.157873377,0.086850649,0.034496753,0.017045455
141,Markieff Morris,WAS,73,1968,0.129065041,0.038617886,0.207825203,0.072154472,0.028455285,0.019308943
142,Justin Anderson,PHI,38,519,0.102119461,0.065510597,0.179190751,0.048169557,0.028901734,0.013487476
143,Wayne Selden,MEM,35,692,0.096820809,0.070809249,0.080924855,0.095375723,0.026011561,0.007225434
144,Frank Kaminsky,CHO,79,1835,0.110626703,0.056675749,0.156948229,0.070299728,0.019618529,0.010354223
145,Ivan Rabb,MEM,36,516,0.166666667,0,0.30620155,0.062015504,0.023255814,0.025193798
146,Myles Turner,IND,65,1836,0.136165577,0.030501089,0.227124183,0.047385621,0.020697168,0.064270153
147,Tony Parker,SAS,55,1071,0.156862745,0.009337068,0.088702148,0.182072829,0.026143791,0.000933707
148,Troy Williams,TOT,21,307,0.13029316,0.035830619,0.205211726,0.052117264,0.06514658,0.013029316
149,Jakob Poeltl,TOR,82,1524,0.165354331,0.000656168,0.257874016,0.037401575,0.025590551,0.065616798
150,Austin Rivers,LAC,61,2057,0.099659699,0.066115702,0.070491006,0.117647059,0.03597472,0.007778318
151,Skal Labissiere,SAC,60,1240,0.150806452,0.014516129,0.232258065,0.058064516,0.02016129,0.039516129
152,Quinn Cook,GSW,33,740,0.102702703,0.062162162,0.110810811,0.12027027,0.016216216,0.001351351
153,Kenneth Faried,DEN,32,461,0.164859002,0,0.331887202,0.039045553,0.026030369,0.028199566
154,Mario Hezonja,ORL,75,1657,0.110440555,0.054315027,0.169583585,0.063971032,0.048883524,0.018708509
